Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NewSuite,Chrome 134.0.6998.35,,,08-03-2025 20:20:01,08-03-2025 20:21:05,1m - 3.181s,FAILED
,,,,,,,
Test Cases/loopStmt,Chrome 134.0.6998.35,,,08-03-2025 20:20:03,08-03-2025 20:20:29,26.619s,FAILED
"openBrowser("""")",Chrome 134.0.6998.35,,,08-03-2025 20:20:05,08-03-2025 20:20:18,13.493s,PASSED
"navigateToUrl(""http://demoaut.katalon.com"")",Chrome 134.0.6998.35,,,08-03-2025 20:20:18,08-03-2025 20:20:27,8.404s,PASSED
acceptAlert(),Chrome 134.0.6998.35,,,08-03-2025 20:20:27,08-03-2025 20:20:29,2.789s,FAILED
,,,,,,,
Test Cases/LoginSuccessful,Chrome 134.0.6998.35,,,08-03-2025 20:20:29,08-03-2025 20:20:51,21.732s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 134.0.6998.35,,,08-03-2025 20:20:30,08-03-2025 20:20:51,21.439s,PASSED
,,,,,,,
Test Cases/manualTC,Chrome 134.0.6998.35,,,08-03-2025 20:20:51,08-03-2025 20:21:05,13.551s,PASSED
"openBrowser("""")",Chrome 134.0.6998.35,,,08-03-2025 20:20:51,08-03-2025 20:20:56,4.540s,PASSED
"navigateToUrl(""http://demoaut.katalon.com"")",Chrome 134.0.6998.35,,,08-03-2025 20:20:56,08-03-2025 20:21:02,6.455s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 134.0.6998.35,,,08-03-2025 20:21:02,08-03-2025 20:21:04,1.478s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare service1/button_Login""), 0)",Chrome 134.0.6998.35,,,08-03-2025 20:21:04,08-03-2025 20:21:04,0.447s,PASSED
closeBrowser(),Chrome 134.0.6998.35,,,08-03-2025 20:21:04,08-03-2025 20:21:05,0.244s,PASSED
